"label","beta1_garch","t_garch","p_garch","beta2_vix","t_vix","p_vix","R2"
"1d",-0.4192,-6.677,0,2.5545,30.378,0,0.4622
"22d",-0.327,-6.888,0,1.1054,18.485,0,0.2156
